FBgn0000008	a	FBgn0269458
FBgn0004367	mei-41	FBgn0188845
FBgn0004368	Ptp4E	FBgn0188304
FBgn0004369	Ptp99A	FBgn0192870
FBgn0004370	Ptp10D	FBgn0068643
FBgn0004372	aly	FBgn0084450
FBgn0004373	fwd	FBgn0196999
FBgn0004374	neb	FBgn0195592
FBgn0004378	Klp61F	FBgn0185200
FBgn0004379	Klp67A	FBgn0184661
FBgn0004380	Klp64D	FBgn0184924
FBgn0004381	Klp68D	FBgn0186015
FBgn0004387	Klp98A	FBgn0189618
FBgn0004389	bnk	FBgn0192987
FBgn0004390	RasGAP1	FBgn0184612
FBgn0004391	shtd	FBgn0187456
FBgn0004394	pdm2	FBgn0195217
FBgn0004395	unk	FBgn0189927
FBgn0004396	CrebA	FBgn0186233
FBgn0004397	Vinc	FBgn0268614
FBgn0004400	rhi	FBgn0268376
FBgn0004401	Pep	FBgn0184123
FBgn0004406	tam	FBgn0193453
FBgn0004407	DNApol-gamma35	FBgn0193450
FBgn0004419	me31B	FBgn0195044
FBgn0004429	LysP	FBgn0268588
FBgn0004431	LysX	FBgn0185204
FBgn0004432	Cyp1	FBgn0191705
FBgn0004435	Galphaq	FBgn0182667
FBgn0004436	Ubc6	FBgn0191136
FBgn0004449	Ten-m	FBgn0183808
FBgn0004456	mew	FBgn0187547
FBgn0004463	RpIII128	FBgn0182598
FBgn0004465	Su(P)	FBgn0028446
FBgn0004507	GlyP	FBgn0194522
FBgn0004509	Fur1	FBgn0189736
FBgn0004510	Ets97D	FBgn0189653
FBgn0004511	dy	FBgn0018282
FBgn0004512	Mdr49	FBgn0197080
FBgn0004513	Mdr65	FBgn0184854
FBgn0004514	Oct-TyrR	FBgn0186688
FBgn0004516	Gad1	FBgn0185014
FBgn0004552	Akh	FBgn0185514
FBgn0004556	Dbp73D	FBgn0184176
FBgn0004567	slp2	FBgn0269937
FBgn0004569	aos	FBgn0184196
FBgn0004573	5-HT7	FBgn0188297
FBgn0004574	Rop	FBgn0185009
FBgn0004575	Syn	FBgn0190194
FBgn0004577	Pxd	FBgn0190635
FBgn0004580	Cbp53E	FBgn0182989
FBgn0004581	bgcn	FBgn0186869
FBgn0004583	ex	FBgn0194417
FBgn0004584	Rrp1	FBgn0269074
FBgn0004587	B52	FBgn0190428
FBgn0004592	Eig71Ee	FBgn0184274
FBgn0004594	Eig71Eg	FBgn0186244
FBgn0004595	pros	FBgn0025030
FBgn0004597	CycC	FBgn0191868
FBgn0004598	Fur2	FBgn0084645
FBgn0004606	zfh1	FBgn0192971
FBgn0004607	zfh2	FBgn0195744
FBgn0004611	Plc21C	FBgn0194408
FBgn0004618	gl	FBgn0191653
FBgn0004619	GluRIA	FBgn0185661
FBgn0004620	GluRIIA	FBgn0194738
FBgn0004622	TkR99D	FBgn0189069
FBgn0004623	Gbeta76C	FBgn0186496
FBgn0004635	rho	FBgn0185329
FBgn0004636	Rap1	FBgn0029248
FBgn0004638	drk	FBgn0063984
FBgn0004643	Zw10	FBgn0196054
FBgn0004644	hh	FBgn0189928
FBgn0004646	ogre	FBgn0187801
FBgn0004647	N	FBgn0012846
FBgn0004648	svr	FBgn0188115
FBgn0004649	yl	FBgn0196135
FBgn0004650	fs(1)N	FBgn0188155
FBgn0004652	fru	FBgn0043395
FBgn0004654	Pgd	FBgn0012849
FBgn0004655	wapl	FBgn0068582
FBgn0004656	fs(1)h	FBgn0187769
FBgn0004657	mys	FBgn0188457
FBgn0004666	sim	FBgn0190394
FBgn0004687	Mlc-c	FBgn0187880
FBgn0004698	Xpc	FBgn0182863
FBgn0004777	Ccp84Ag	FBgn0191377
FBgn0004778	Ccp84Af	FBgn0191026
FBgn0004779	Ccp84Ae	FBgn0191025
FBgn0004781	Ccp84Ac	FBgn0191023
FBgn0004784	inaC	FBgn0182984
FBgn0004795	retn	FBgn0183519
FBgn0004797	mdy	FBgn0195443
FBgn0004811	fs(2)ltoPP43	FBgn0193154
FBgn0004832	Xpac	FBgn0268564
FBgn0004837	Su(H)	FBgn0027417
FBgn0004838	Hrb27C	FBgn0083432
FBgn0004839	otk	FBgn0197148
FBgn0004841	TkR86C	FBgn0192175
FBgn0004842	RYa-R	FBgn0192758
FBgn0004852	Ac76E	FBgn0186514
FBgn0004854	B-H2	FBgn0187328
FBgn0004855	RpII15	FBgn0190464
FBgn0004856	Bx42	FBgn0195897
FBgn0004858	elB	FBgn0183708
FBgn0004859	ci	FBgn0012866
FBgn0004862	bap	FBgn0067504
FBgn0004863	C15	FBgn0190929
FBgn0004864	hop	FBgn0068592
FBgn0004865	Eip78C	FBgn0186616
FBgn0004867	RpS2	FBgn0193737
FBgn0004868	Gdi	FBgn0193761
FBgn0004870	bab1	FBgn0185210
FBgn0004872	piwi	FBgn0193615
FBgn0004875	enc	FBgn0185482
FBgn0004876	cdi	FBgn0191615
FBgn0004878	cas	FBgn0191081
FBgn0004882	orb	FBgn0189919
FBgn0004885	tok	FBgn0083414
FBgn0004888	Scsalpha1	FBgn0185480
FBgn0004889	tws	FBgn0192198
FBgn0004892	sob	FBgn0194140
FBgn0004893	bowl	FBgn0194642
FBgn0004895	FoxL1	FBgn0185497
FBgn0004896	fd59A	FBgn0183457
FBgn0004897	fd96Ca	FBgn0183514
FBgn0004898	fd96Cb	FBgn0192624
FBgn0004901	Prat	FBgn0190951
FBgn0004903	Rb97D	FBgn0189656
FBgn0004907	14-3-3zeta	FBgn0269511
FBgn0004908	Arl2	FBgn0190059
FBgn0004910	Eip63F-1	FBgn0185030
FBgn0004913	Gnf1	FBgn0191242
FBgn0004915	TfIIB	FBgn0195079
FBgn0004919	gol	FBgn0196213
FBgn0004921	Ggamma1	FBgn0182378
FBgn0004924	Top1	FBgn0269042
FBgn0004926	eIF2beta	FBgn0184436
FBgn0004956	upd1	FBgn0187310
FBgn0004957	por	FBgn0187306
FBgn0004959	phm	FBgn0196174
FBgn0005198	gig	FBgn0186527
FBgn0005278	Sam-S	FBgn0194393
FBgn0005322	nmd	FBgn0193687
FBgn0005355	Su(fu)	FBgn0192018
FBgn0005386	ash1	FBgn0184003
FBgn0005390	fs(1)M3	FBgn0187850
FBgn0005391	Yp2	FBgn0012859
FBgn0005411	U2af50	FBgn0195829
FBgn0005427	ewg	FBgn0188099
FBgn0005533	RpS17	FBgn0184650
FBgn0005536	Mbs	FBgn0186272
FBgn0005558	ey	FBgn0018281
FBgn0005561	sv	FBgn0195757
FBgn0005564	Shal	FBgn0189111
FBgn0005585	Calr	FBgn0192241
FBgn0005586	Rab3	FBgn0197240
FBgn0005590	scw	FBgn0193163
FBgn0005593	RpL7	FBgn0195039
FBgn0005596	yem	FBgn0189528
FBgn0005612	Sox14	FBgn0187124
FBgn0005613	Sox15	FBgn0270298
FBgn0005614	trpl	FBgn0182447
FBgn0005616	msl-2	FBgn0187546
FBgn0005617	msl-1	FBgn0268295
FBgn0005619	Hdc	FBgn0182485
FBgn0005624	Psc	FBgn0197077
FBgn0005626	ple	FBgn0184837
FBgn0005631	robo1	FBgn0196421
FBgn0005632	faf	FBgn0193028
FBgn0005633	fln	FBgn0183970
FBgn0005636	nvy	FBgn0183588
FBgn0005638	slbo	FBgn0196278
FBgn0005640	Eip63E	FBgn0185473
FBgn0005642	wdn	FBgn0189562
FBgn0005648	Pabp2	FBgn0182316
FBgn0005649	Rox8	FBgn0269459
FBgn0005654	Orc3	FBgn0197065
FBgn0005655	PCNA	FBgn0064355
FBgn0005658	Ets65A	FBgn0185633
FBgn0005659	Ets98B	FBgn0192788
FBgn0005660	Ets21C	FBgn0183737
FBgn0005664	Crys	FBgn0195168
FBgn0005666	bt	FBgn0195752
FBgn0005670	Cyp4d1	FBgn0024396
FBgn0005671	Vha55	FBgn0192024
FBgn0005672	spi	FBgn0193167
FBgn0005674	GluProRS	FBgn0189862
FBgn0005677	dac	FBgn0193327
FBgn0005683	pie	FBgn0193667
FBgn0005694	Aef1	FBgn0186631
FBgn0005695	gcl	FBgn0182365
FBgn0005696	DNApol-alpha73	FBgn0186858
FBgn0005771	noc	FBgn0195328
FBgn0005775	Con	FBgn0184944
FBgn0005777	PpD3	FBgn0190162
FBgn0005778	PpD5	FBgn0186881
FBgn0005779	PpD6	FBgn0194597
FBgn0008635	betaCOP	FBgn0187305
FBgn0008636	hbn	FBgn0196555
FBgn0008646	E5	FBgn0191941
FBgn0010015	CanA1	FBgn0192983
FBgn0010019	Cyp4g1	FBgn0195967
FBgn0010038	GstD2	FBgn0190331
FBgn0010039	GstD3	FBgn0190332
FBgn0010044	GstD8	FBgn0190337
FBgn0010051	Itpr	FBgn0191280
FBgn0010052	Jhe	FBgn0182916
FBgn0010053	Jheh1	FBgn0196647
FBgn0010078	RpL23	FBgn0183456
FBgn0010097	gammaTub37C	FBgn0193192
FBgn0010100	mAcon1	FBgn0195654
FBgn0010105	comm	FBgn0184266
FBgn0010109	dpn	FBgn0186956
FBgn0010113	hdc	FBgn0192939
FBgn0010114	hig	FBgn0181865
FBgn0010173	RpA-70	FBgn0192342
FBgn0010194	Wnt5	FBgn0084925
FBgn0010197	Gyc32E	FBgn0193597
FBgn0010213	Sod2	FBgn0196806
FBgn0010217	ATPsynbeta	FBgn0022517
FBgn0010220	Dbp45A	FBgn0182394
FBgn0010222	Nmdmc	FBgn0192285
FBgn0010223	Galphaf	FBgn0184181
FBgn0010225	Gel	FBgn0046913
FBgn0010226	GstS1	FBgn0196786
FBgn0010228	HmgZ	FBgn0196483
FBgn0010235	Klc	FBgn0184430
FBgn0010238	Lac	FBgn0182653
FBgn0010240	Lcch3	FBgn0196144
FBgn0010241	Mdr50	FBgn0182793
FBgn0010246	Myo61F	FBgn0185319
FBgn0010247	Parp	FBgn0270592
FBgn0010258	Rbp4	FBgn0191956
FBgn0010263	Rbp9	FBgn0194584
FBgn0010265	RpS13	FBgn0193818
FBgn0010269	Dsor1	FBgn0063994
FBgn0010278	Ssrp	FBgn0196325
FBgn0010280	Taf4	FBgn0270098
FBgn0010282	TfIIFalpha	FBgn0191360
FBgn0010287	Trf	FBgn0194881
FBgn0010288	Uch	FBgn0194259
FBgn0010292	bys	FBgn0188449
FBgn0010296	ng4	FBgn0187959
FBgn0010300	brat	FBgn0084788
FBgn0010303	hep	FBgn0187559
FBgn0010309	pigeon	FBgn0195541
FBgn0010314	Cks30A	FBgn0194973
FBgn0010315	CycD	FBgn0187433
FBgn0010316	dap	FBgn0182445
FBgn0010317	CycJ	FBgn0185468
FBgn0010323	Gsc	FBgn0194341
FBgn0010328	woc	FBgn0189627
FBgn0010329	Tbh	FBgn0068641
FBgn0010339	128up	FBgn0182597
FBgn0010340	140up	FBgn0191925
FBgn0010341	Cdc42	FBgn0189009
FBgn0010342	Map60	FBgn0182435
FBgn0010348	Arf79F	FBgn0183788
FBgn0010350	Cds	FBgn0185749
FBgn0010352	Nc73EF	FBgn0186359
FBgn0010355	Taf1	FBgn0191374
FBgn0010356	Taf5	FBgn0197225
FBgn0010379	Akt1	FBgn0190581
FBgn0010380	AP-1-2beta	FBgn0268931
FBgn0010382	CycE	FBgn0193359
FBgn0010383	Cyp18a1	FBgn0195805
FBgn0010385	Def	FBgn0066167
FBgn0010387	Acbp2	FBgn0185691
FBgn0010388	Dro	FBgn0066165
FBgn0010389	htl	FBgn0191682
FBgn0010391	SrpRalpha	FBgn0269944
FBgn0010395	Itgbn	FBgn0269502
FBgn0010397	LamC	FBgn0196960
FBgn0010398	Lrr47	FBgn0195089
FBgn0010399	Nmdar1	FBgn0191104
FBgn0010401	Os-C	FBgn0191443
FBgn0010403	Obp83b	FBgn0067158
FBgn0010406	RNaseX25	FBgn0045558
FBgn0010407	Ror	FBgn0195046
FBgn0010408	RpS9	FBgn0184637
FBgn0010409	RpL18A	FBgn0196759
FBgn0010411	RpS18	FBgn0064360
FBgn0010412	RpS19a	FBgn0188851
FBgn0010414	SerT	FBgn0268694
FBgn0010415	Sdc	FBgn0196510
FBgn0010416	TH1	FBgn0187412
FBgn0010417	Taf6	FBgn0186488
FBgn0010421	TfIIFbeta	FBgn0192171
FBgn0010422	TfIIS	FBgn0193386
FBgn0010423	TpnC47D	FBgn0067505
FBgn0010424	TpnC73F	FBgn0186369
FBgn0010425	epsilonTry	FBgn0197185
FBgn0010431	mtrm	FBgn0269880
FBgn0010433	ato	FBgn0190053
FBgn0010434	cora	FBgn0183185
FBgn0010435	emp	FBgn0196216
FBgn0010438	mtSSB	FBgn0191778
FBgn0010441	pll	FBgn0269378
FBgn0010452	trn	FBgn0186114
FBgn0010453	Wnt4	FBgn0193903
FBgn0010470	Fkbp14	FBgn0196509
FBgn0010473	tutl	FBgn0194660
FBgn0010482	l(2)01289	FBgn0182079
FBgn0010488	NAT1	FBgn0182693
FBgn0010497	dmGlut	FBgn0195179
FBgn0010501	Dcp-1	FBgn0183513
FBgn0010504	kermit	FBgn0270230
FBgn0010516	wal	FBgn0197168
FBgn0010520	Bka	FBgn0195011
FBgn0010531	Ccs	FBgn0197280
FBgn0010548	Aldh-III	FBgn0182027
FBgn0010549	l(2)03659	FBgn0182418
FBgn0010551	Phb2	FBgn0187108
FBgn0010583	dock	FBgn0194441
FBgn0010590	Prosbeta1	FBgn0187660
FBgn0010591	Sply	FBgn0196787
FBgn0010602	lwr	FBgn0194347
FBgn0010607	l(2)05714	FBgn0194070
FBgn0010612	ATPsynG	FBgn0193616
FBgn0010620	CG10939	FBgn0183012
FBgn0010621	CCT5	FBgn0270141
FBgn0010622	DCTN3-p24	FBgn0196399
FBgn0010638	Sec61beta	FBgn0182824
FBgn0010651	MFS14	FBgn0196654
FBgn0010660	Nup214	FBgn0196408
FBgn0010741	Pfdn2	FBgn0184556
FBgn0010747	Srp54k	FBgn0185577
FBgn0010750	atms	FBgn0191237
FBgn0010762	simj	FBgn0185941
FBgn0010768	sqz	FBgn0190778
FBgn0010770	ppan	FBgn0190899
FBgn0010772	Xe7	FBgn0191084
FBgn0010774	Ref1	FBgn0191006
FBgn0010786	l(3)02640	FBgn0185323
FBgn0010803	TrpRS	FBgn0192272
FBgn0010808	Chchd3	FBgn0188245
FBgn0010812	unc-45	FBgn0191449
FBgn0010825	Gug	FBgn0185787
FBgn0010830	l(3)04053	FBgn0183794
FBgn0010877	l(3)05822	FBgn0191662
FBgn0010894	sinu	FBgn0184912
FBgn0010905	Spn	FBgn0185100
FBgn0010909	msn	FBgn0185099
FBgn0010926	l(3)07882	FBgn0191704
FBgn0011016	SsRbeta	FBgn0186279
FBgn0011020	Sas-4	FBgn0191400
FBgn0011202	dia	FBgn0195627
FBgn0011204	cue	FBgn0185182
FBgn0011205	fbl	FBgn0186555
FBgn0011206	bol	FBgn0269171
FBgn0011207	pelo	FBgn0195000
FBgn0011211	blw	FBgn0183444
FBgn0011217	eff	FBgn0191874
FBgn0011224	heph	FBgn0187834
FBgn0011225	jar	FBgn0189838
FBgn0011227	ox	FBgn0197093
FBgn0011230	poe	FBgn0193847
FBgn0011232	scat	FBgn0194980
FBgn0011236	ken	FBgn0185471
FBgn0011239	ms(2)35Ci	FBgn0195362
FBgn0011244	Hsp60B	FBgn0194432
FBgn0011259	Sema1a	FBgn0194934
FBgn0011260	Sema2a	FBgn0182955
FBgn0011272	RpL13	FBgn0195022
FBgn0011273	Acam	FBgn0192685
FBgn0011274	Dif	FBgn0067525
FBgn0011276	HLH3B	FBgn0195935
FBgn0011277	HLH4C	FBgn0187911
FBgn0011279	Obp69a	FBgn0186058
FBgn0011280	Obp19d	FBgn0189042
FBgn0011281	Obp83a	FBgn0041892
FBgn0011282	Obp84a	FBgn0190986
FBgn0011283	Obp28a	FBgn0193891
FBgn0011284	RpS4	FBgn0186109
FBgn0011286	RyR	FBgn0182374
FBgn0011289	TfIIA-L	FBgn0192769
FBgn0011290	Taf12	FBgn0192112
FBgn0011291	Taf11	FBgn0193746
FBgn0011293	a10	FBgn0184162
FBgn0011294	a5	FBgn0194484
FBgn0011296	l(2)efl	FBgn0196337
FBgn0011297	Alg3	FBgn0196334
FBgn0011300	babo	FBgn0182387
FBgn0011305	Rsf1	FBgn0193694
FBgn0011327	Uch-L5	FBgn0184644
FBgn0011335	vers	FBgn0186040
FBgn0011336	Stt3B	FBgn0189771
FBgn0011361	ND-ACP	FBgn0185321
FBgn0011455	ND-SGDH	FBgn0184473
FBgn0011474	PR-Set7	FBgn0190466
FBgn0011476	l(3)neo43	FBgn0191838
FBgn0011481	Ssdp	FBgn0191675
FBgn0011509	SrpRbeta	FBgn0184691
FBgn0011554	etaTry	FBgn0197187
FBgn0011555	thetaTry	FBgn0197186
FBgn0011559	Acp36DE	FBgn0041931
FBgn0011566	Smyd3	FBgn0270353
FBgn0011569	can	FBgn0184589
FBgn0011570	cpb	FBgn0194500
FBgn0011573	Cdc37	FBgn0025042
FBgn0011576	Cyp4d2	FBgn0024395
FBgn0011581	Ms	FBgn0192546
FBgn0011582	Dop1R1	FBgn0191916
FBgn0011584	Trp1	FBgn0195026
FBgn0011586	e(r)	FBgn0187451
FBgn0011589	Elk	FBgn0183077
FBgn0011591	fng	FBgn0269352
FBgn0011592	fra	FBgn0182662
FBgn0011596	fzo	FBgn0269876
FBgn0011603	ine	FBgn0194099
FBgn0011604	Iswi	FBgn0182672
FBgn0011606	Klp3A	FBgn0268472
FBgn0011638	La	FBgn0193130
FBgn0011640	lark	FBgn0270829
FBgn0011642	Zyx	FBgn0195706
FBgn0011648	Mad	FBgn0194168
FBgn0011653	mas	FBgn0185007
FBgn0011655	Med	FBgn0193015
FBgn0011656	Mef2	FBgn0181812
FBgn0011659	Mlh1	FBgn0182319
FBgn0011660	Pms2	FBgn0196905
FBgn0011661	Moe	FBgn0187731
FBgn0011666	msi	FBgn0025033
FBgn0011672	Mvl	FBgn0067519
FBgn0011674	insc	FBgn0196562
FBgn0011676	Nos	FBgn0193632
FBgn0011692	pav	FBgn0082400
FBgn0011693	Pdh	FBgn0184210
FBgn0011695	EbpIII	FBgn0183565
FBgn0011701	repo	FBgn0190723
FBgn0011703	RnrL	FBgn0193680
FBgn0011704	RnrS	FBgn0197150
FBgn0011705	rost	FBgn0193775
FBgn0011706	rpr	FBgn0184078
FBgn0011708	Syx5	FBgn0195409
FBgn0011710	Sep1	FBgn0189081
FBgn0011715	Snr1	FBgn0191277
FBgn0011722	Tig	FBgn0193980
FBgn0011723	byn	FBgn0186024
FBgn0011725	twin	FBgn0189841
FBgn0011726	tsr	FBgn0196290
FBgn0011737	Wee1	FBgn0193936
FBgn0011739	wts	FBgn0188416
FBgn0011740	alpha-Man-IIa	FBgn0190137
FBgn0011741	Arp6	FBgn0187442
FBgn0011742	Arp2	FBgn0187404
FBgn0011743	Arp53D	FBgn0182967
FBgn0011745	Arp1	FBgn0190368
FBgn0011746	ana	FBgn0182391
FBgn0011747	Ank	FBgn0269155
FBgn0011754	PhKgamma	FBgn0188614
FBgn0011758	B-H1	FBgn0187330
FBgn0011761	dhd	FBgn0270833
FBgn0011762	DNApol-alpha50	FBgn0185776
FBgn0011763	Dp	FBgn0182715
FBgn0011766	E2f1	FBgn0191453
FBgn0011768	Fdh	FBgn0192160
FBgn0011769	Fdx1	FBgn0184660
FBgn0011770	Gip	FBgn0183756
FBgn0011771	Hem	FBgn0045567
FBgn0011774	Irbp	FBgn0190271
FBgn0011785	BRWD3	FBgn0192543
FBgn0011787	mRpL12	FBgn0085140
FBgn0011802	Gem3	FBgn0184586
FBgn0011817	nmo	FBgn0185740
FBgn0011818	oaf	FBgn0194548
FBgn0011822	Pgcl	FBgn0270502
FBgn0011824	CG4038	FBgn0196537
FBgn0011828	Pxn	FBgn0185096
FBgn0011829	Ret	FBgn0193068
FBgn0011832	Ser12	FBgn0194247
FBgn0011836	Taf2	FBgn0184609
FBgn0011837	Tis11	FBgn0270010
FBgn0012034	AcCoAS	FBgn0183867
FBgn0012036	Aldh	FBgn0194978
FBgn0012037	Ance	FBgn0262093
FBgn0012051	CalpA	FBgn0183202
FBgn0012058	Cdc27	FBgn0184802
FBgn0012344	Dh44	FBgn0190156
FBgn0013263	Trl	FBgn0184331
FBgn0013269	Fkbp39	FBgn0191835
FBgn0013272	Gp150	FBgn0183398
FBgn0013303	Nca	FBgn0186520
FBgn0013305	Nmda1	FBgn0197085
FBgn0013307	Odc1	FBgn0187028
FBgn0013308	Odc2	FBgn0268520
FBgn0013323	Ptth	FBgn0194342
FBgn0013325	RpL11	FBgn0183204
FBgn0013334	Sap47	FBgn0190567
FBgn0013342	nSyb	FBgn0189160
FBgn0013343	Syx1A	FBgn0268103
FBgn0013347	TfIIA-S	FBgn0189874
FBgn0013348	TpnC41C	FBgn0188268
FBgn0013432	bcn92	FBgn0188007
FBgn0013433	beat-Ia	FBgn0195396
FBgn0013435	Cdc2rk	FBgn0197284
FBgn0013467	igl	FBgn0182857
FBgn0013469	klu	FBgn0184562
FBgn0013531	MED20	FBgn0193846
FBgn0013548	l(2)dtl	FBgn0183527
FBgn0013563	Pex1	FBgn0186161
FBgn0013576	mtd	FBgn0191122
FBgn0013674	mt:CoI	FBgn0269149
FBgn0013717	not	FBgn0184068
FBgn0013718	nuf	FBgn0186165
FBgn0013720	pck	FBgn0196039
FBgn0013725	phyl	FBgn0196964
FBgn0013726	pnut	FBgn0182321
FBgn0013732	sced	FBgn0182185
FBgn0013733	shot	FBgn0197016
FBgn0013746	alien	FBgn0193774
FBgn0013749	Arf102F	FBgn0191964
FBgn0013750	Arf51F	FBgn0182864
FBgn0013751	Awh	FBgn0185484
FBgn0013753	Bgb	FBgn0189171
FBgn0013755	Bro	FBgn0084471
FBgn0013756	Mtor	FBgn0182582
FBgn0013759	CASK	FBgn0190026
FBgn0013762	Cdk5	FBgn0196895
FBgn0013763	Idgf6	FBgn0182965
FBgn0013764	Chi	FBgn0196292
FBgn0013765	cnn	FBgn0197042
FBgn0013767	Crz	FBgn0064364
FBgn0013770	Cp1	FBgn0182755
FBgn0013773	Cyp6a22	FBgn0182839
FBgn0013799	Deaf1	FBgn0186503
FBgn0013810	Dhc36C	FBgn0195472
FBgn0013811	Dhc62B	FBgn0185153
FBgn0013812	Dhc93AB	FBgn0191501
FBgn0013813	Dhc98D	FBgn0192810
FBgn0013949	Elal	FBgn0192592
FBgn0013953	Esp	FBgn0192588
FBgn0013954	Fkbp12	FBgn0183191
FBgn0013972	Gycalpha99B	FBgn0192884
FBgn0013973	Gycbeta100B	FBgn0192986
FBgn0013983	imd	FBgn0067498
FBgn0013987	MAPk-Ak2	FBgn0187862
FBgn0013995	Calx	FBgn0190890
FBgn0013997	Nrx-IV	FBgn0186048
FBgn0014000	Hf	FBgn0083428
FBgn0014006	Ask1	FBgn0190822
FBgn0014007	Ptp69D	FBgn0186081
FBgn0014009	Rab2	FBgn0182191
FBgn0014010	Rab5	FBgn0194235
FBgn0014018	Rel	FBgn0029245
FBgn0014019	Rh5	FBgn0195177
FBgn0014020	Rho1	FBgn0182913
FBgn0014022	Rlb1	FBgn0083426
FBgn0014023	mRpL47	FBgn0192254
FBgn0014024	Rnp4F	FBgn0269137
FBgn0014026	RpL7A	FBgn0187819
FBgn0014028	SdhB	FBgn0182196
FBgn0014029	Sep2	FBgn0191532
FBgn0014031	Spat	FBgn0188388
FBgn0014032	Sptr	FBgn0187748
FBgn0014037	Su(Tpl)	FBgn0084820
FBgn0014073	Tie	FBgn0184968
FBgn0014075	Uggt	FBgn0186451
FBgn0014076	Vm32E	FBgn0193593
FBgn0014092	CG4278	FBgn0195411
FBgn0014127	barr	FBgn0193142
FBgn0014133	bif	FBgn0188612
FBgn0014135	bnl	FBgn0191581
FBgn0014141	cher	FBgn0191728
FBgn0014143	croc	FBgn0183854
FBgn0014163	fax	FBgn0184200
FBgn0014179	gcm	FBgn0193757
FBgn0014184	Oda	FBgn0197138
FBgn0014189	Hel25E	FBgn0183720
FBgn0014269	prod	FBgn0024778
FBgn0014340	mof	FBgn0269473
FBgn0014342	mia	FBgn0191101
FBgn0014343	mirr	FBgn0186079
FBgn0014366	noi	FBgn0191095
FBgn0014380	RhoL	FBgn0192256
FBgn0014388	sty	FBgn0268841
FBgn0014391	sun	FBgn0196003
FBgn0014395	tilB	FBgn0182098
FBgn0014396	tim	FBgn0020076
FBgn0014411	Vps26	FBgn0270532
FBgn0014417	CG13397	FBgn0193809
FBgn0014427	CG11899	FBgn0083468
FBgn0014454	Acp1	FBgn0193875
FBgn0014455	Ahcy	FBgn0188773
FBgn0014464	Cp7Fa	FBgn0188481
FBgn0014465	Cp7Fb	FBgn0188482
FBgn0014466	Cp7Fc	FBgn0188484
FBgn0014849	Eig71Ei	FBgn0186245
FBgn0014851	Eig71Ek	FBgn0186246
FBgn0014859	Hr38	FBgn0193111
FBgn0014861	Mcm2	FBgn0190051
FBgn0014863	Mlp84B	FBgn0191001
FBgn0014865	Mtk	FBgn0066161
FBgn0014868	Ost48	FBgn0187719
FBgn0014870	Psi	FBgn0196802
FBgn0014877	Roe1	FBgn0182734
FBgn0014879	Set	FBgn0190509
FBgn0014903	CG14630	FBgn0188146
FBgn0014906	Hydr2	FBgn0194602
FBgn0014930	CG2846	FBgn0190950
FBgn0014931	CG2678	FBgn0191441
FBgn0014949	btn	FBgn0189968
FBgn0015000	betaggt-I	FBgn0194695
FBgn0015001	iotaTry	FBgn0187060
FBgn0015008	Actn3	FBgn0191741
FBgn0015010	Ag5r	FBgn0269084
FBgn0015011	AhcyL2	FBgn0191740
FBgn0015019	CCT3	FBgn0190625
FBgn0015024	CkIalpha	FBgn0196118
FBgn0015025	CkIIalpha-i1	FBgn0186254
FBgn0015031	cype	FBgn0268455
FBgn0015032	Cyp4c3	FBgn0192977
FBgn0015033	Cyp4d8	FBgn0184775
FBgn0015036	Cyp4ae1	FBgn0188195
FBgn0015040	Cyp9c1	FBgn0183625
FBgn0015075	Ddx1	FBgn0186695
FBgn0015218	eIF4E1	FBgn0184653
FBgn0015221	Fer2LCH	FBgn0192940
FBgn0015222	Fer1HCH	FBgn0188726
FBgn0015229	glec	FBgn0190020
FBgn0015230	Glut3	FBgn0190626
FBgn0015239	Hr78	FBgn0183851
FBgn0015240	Hr96	FBgn0192609
FBgn0015247	Diap2	FBgn0196873
FBgn0015268	Nap1	FBgn0196308
FBgn0015269	Nf1	FBgn0192705
FBgn0015270	Orc2	FBgn0190451
FBgn0015271	Orc5	FBgn0195295
FBgn0015277	Pi3K59F	FBgn0183516
FBgn0015278	Pi3K68D	FBgn0184503
FBgn0015279	Pi3K92E	FBgn0191529
FBgn0015282	Rpt2	FBgn0189866
FBgn0015283	Rpn10	FBgn0186642
FBgn0015286	Rala	FBgn0187944
FBgn0015288	RpL22	FBgn0268304
FBgn0015295	Shark	FBgn0196846
FBgn0015296	Shc	FBgn0185868
FBgn0015298	Srp19	FBgn0184789
FBgn0015299	Ssb-c31a	FBgn0194892
FBgn0015316	Try29F	FBgn0270342
FBgn0015320	Ubc2	FBgn0193636
FBgn0015321	Ubc4	FBgn0185893
FBgn0015331	abs	FBgn0269830
FBgn0015336	CG15865	FBgn0187392
FBgn0015338	CG5861	FBgn0193338
FBgn0015351	CG14906	FBgn0268271
FBgn0015359	CG2034	FBgn0185377
FBgn0015360	oxt	FBgn0084802
FBgn0015371	chn	FBgn0182855
FBgn0015372	RabX1	FBgn0196352
FBgn0015376	cutlet	FBgn0194126
FBgn0015379	dod	FBgn0189078
FBgn0015380	drl	FBgn0195542
FBgn0015381	dsf	FBgn0194755
FBgn0015391	glu	FBgn0193316
FBgn0015396	jumu	FBgn0190211
FBgn0015399	kek1	FBgn0084078
FBgn0015400	kek2	FBgn0085048
FBgn0015402	ksr	FBgn0063983
FBgn0015477	Rme-8	FBgn0181871
FBgn0015509	Cul1	FBgn0182287
FBgn0015513	mbc	FBgn0192495
